#Iterazione,Iterazioni spese in Line Search,Eta,Errore,Gradiente
126,2,0.15691718689432915,834.4739814624514,0.23343286168103755
127,2,0.039329033994136196,823.4860681522575,0.4598027589881123
128,2,0.040094188322952966,812.5762699840237,0.42329597471001684
129,2,0.10421179509564679,802.00405743424,0.21921731656729926
130,2,0.06449038370558983,792.331897004631,0.2630037691588881
131,2,0.10832436203169707,782.7721431143982,0.2276045447295204
132,1,1,772.8443901506126,0.19730181459195295
133,2,0.033765312153656996,757.1112478559303,0.9578165320427638
134,2,0.03453286803708289,739.1372491216899,0.8760288390969202
135,2,0.14261456301164935,720.5735278377556,0.2777609255041869
136,2,0.042988231649661736,706.696357067548,0.5281181843456544
137,2,0.11519209715124626,691.1446688051514,0.31416536366168263
138,2,0.03785527283243913,678.4951377775251,0.7226909183879918
139,2,0.03843439778002578,664.5634409249848,0.6897515363351008
140,2,0.12196906602076779,649.3662503373193,0.2903584461137579
141,2,0.04812020704442522,635.8806629976368,0.37866794583634455
142,1,1,623.3806232855948,0.17739973497980302
143,2,0.03571098134904761,604.7832239935426,0.5934677557691276
144,2,0.04014836387761651,587.782509799545,0.5107291619493519
145,2,0.08381329666337752,572.846331644499,0.33230403065766556
146,2,0.05868468393953297,559.217394137115,0.3799908958417779
147,2,0.10268956861418195,545.8737005192754,0.279173000334202
148,2,0.20344564707295335,532.7812010433739,0.23020969944361444
149,2,0.037762222539214074,520.0838732993412,0.5248193105146378
150,2,0.03822934127312687,507.35603079075116,0.4804164245201705
151,2,0.1132072259078596,495.10914382835296,0.20999454710340723
152,2,0.05147987296162856,484.5872398114287,0.29756128971523743
153,1,1,474.27057350407654,0.18393175244450402
154,2,0.034415056860348035,460.5560353312481,0.809080508162392
155,2,0.037529280583956555,449.5266562810454,0.7429141807749728
156,2,0.11077323517711847,441.2500276567037,0.3832109664410851
157,2,0.057396795958597716,434.87556735315763,0.5556848523444051
158,2,0.5185632980935376,424.85641447168086,0.3977865094684516
159,2,0.03586387217101807,401.00624606109284,0.7183172956186835
160,2,0.04110351384230794,389.92404052710356,0.5434702785721045
161,2,0.053671309170335496,390.21395041849667,0.6118716951618774
162,2,0.05705287314100662,393.8337190641901,0.7407615668830535
163,2,0.10584019651238928,392.786230456107,0.6474953923765145
164,2,0.07927295334625738,382.0877177150497,0.6753205757348384
165,2,0.09414183360520682,364.47383929963706,0.5375889849696919
166,2,0.05348862449482545,345.66050137823953,0.5018586508401267
167,2,0.044859280388169845,330.9373985522259,0.38747988559011376
168,2,0.043243050024789426,322.2013624545407,0.3145848617827145
169,2,0.042755797588149805,318.88480003667144,0.41151186712857657
170,2,0.08014391100573803,317.5995214629499,0.34790555264350304
171,2,0.05556158024252853,317.0536737333099,0.4983722286562269
172,2,0.09025494754991817,313.99292370996153,0.4316374369168703
173,2,0.04587738127242751,309.02097450564463,0.6233745470312775
174,2,0.045812018791711734,301.31649136778327,0.5686277290441217
175,2,0.06979256541784155,292.4558997490153,0.3537057801825963
176,2,0.04191419316637171,285.2559477975011,0.43128407099880617
177,2,0.1050826817901256,278.04756576753635,0.1802991290408949
178,2,0.03545500002334284,273.7656117974819,0.4311465540574998
179,2,0.035514088839967886,270.03208283926296,0.4234562133927089
180,2,0.15625332543311357,266.553580648228,0.15617766845393613
181,2,0.04114840014220918,264.4430377657415,0.3615627127566592
182,2,0.052897916794366256,261.49961693356937,0.28732504055348074
183,2,0.05446500597013353,258.6587396525068,0.2919906206245106
184,2,0.049361690761950454,255.52991165480384,0.3140309506837589
185,2,0.11137363622432353,251.70350325372885,0.20248033979665173
186,2,0.07448787255540913,247.53640312899043,0.19342024594686624
187,2,0.06659093357595193,243.56024480354452,0.1663386768958671
188,2,0.06484113476954707,240.13158799010264,0.14598303392802173
189,2,0.06164528707153253,237.30537658226092,0.14959292963019824
190,2,0.07667328474685607,234.90625965503816,0.15021699523526352
191,2,0.06519270457745413,232.69426553893223,0.17997014587843105
192,2,0.118881096041885,230.3357102764352,0.15946005656390003
193,2,0.043736371983396624,227.7746671411054,0.27167764837390557
194,2,0.045584582483530436,224.83315142749487,0.24502199728677243
195,2,0.07630049579166683,221.8002459843981,0.15899835752952327
196,2,0.051141685022059,218.98765100546407,0.18352529723948996
197,2,0.1908919589512808,216.15659857870293,0.1093915878715241
198,2,0.06089813170043524,213.23146511677206,0.13830801003246362
